time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,BlkCnt,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,FeeTotNtv,FlowInExNtv,FlowInExUSD,FlowOutExNtv,FlowOutExUSD,HashRate,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,SplyExNtv,SplyExUSD,SplyExpFut10yr,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2024-05-28,653177.0,53099388.0,1716953530.0,1716953530.0,134.0,2.276025405912,1346675790188.2783,1346656594908.418,17.81071009,18528.32971118,1266278310.6684585,16852.52715378,1151749237.3803291,562079781.7980828,418.75,28618556.06296025,1.0,68342.8204488603,146.14673539806813,8.51756851138341,,,,,19704714.86754006,2723483.77207312,186130562430.178,20758733.59375,594169.0,968635.0,13217023044.3864
2024-05-29,559784.0,53182737.0,1717040990.0,1717040990.0,137.0,2.249666771523,1331757571193.812,1331726956026.7415,39.68926576,20982.01664425,1418054136.195468,20433.47628346,1380981440.0539567,574663655.4364581,428.125,28934512.69971508,1.0,67584.2632402104,143.8765313982979,5.7517869377417625,,,,,19705142.99254002,2724797.01931272,184153399029.37152,20758840.625,721240.0,1136408.0,11381516745.6417
2024-05-30,649063.0,53247672.0,1717128038.0,1717128038.0,123.0,2.274593932765,1347374814099.0803,1347354139574.5974,38.83301124,16739.34527017,1144560701.2115824,53956.35683415,3689291583.1641674,515938903.7370268,384.375,26281823.5974969,1.0,68375.4760260082,151.21710535675328,12.763223553161938,,,,,19705527.36754001,2689891.92143722,183922640586.78375,20758936.71875,510008.0,954734.0,12399825204.3701
2024-05-31,656289.0,53309520.0,1717212170.0,1717212170.0,148.0,2.240434640049,1327745507331.984,1327727391640.542,68.10439279,29458.1192136,1984822163.3762732,45417.50525194,3060129887.3042455,620804533.4975141,462.5,31162215.208149485,1.0,67377.7626122151,151.17177967593275,15.885282088627148,,,,,19705989.86751266,2677339.7607261,180393162830.44797,20759052.34375,713689.0,1203468.0,11245236295.3656
2024-06-01,570980.0,53375762.0,1717302190.0,1717302190.0,141.0,2.250811711614,1334408183644.8196,1334390883135.0908,43.98748517,11944.97690569,808846378.4682691,12401.09357902,839732023.7311097,591442157.6477985,440.625,29836636.631989688,1.0,67714.3526399766,148.445372221788,14.440135240763446,,,,,19706430.49250719,2678051.0196509,181342491132.48996,20759162.5,737521.0,1165054.0,4118586345.3642
2024-06-02,536181.0,53392752.0,1717385022.0,1717385022.0,140.0,2.252890611825,1336233753379.1138,1336216599099.3179,34.67564887,10901.9538157,739212272.18132,11234.19073959,761739758.1313685,587247529.0748333,437.5,29664899.9387237,1.0,67805.4855742256,150.3950027693392,7.6556847315823555,,,,,19706867.99250718,2724871.5008241,184761235240.74695,20759271.875,729457.0,1111514.0,6192684953.63663
2024-06-03,689745.0,53399201.0,1717473749.0,1717473749.0,157.0,2.282844084426,1356522583774.186,1356501340638.1147,44.11314832,25292.70532161,1740980444.9234536,28983.56219717,1995034313.9601965,658556160.4529,490.625,33771339.2035122,1.0,68833.3028351841,153.4526018927609,7.752167580842495,,,,,19707358.61712567,2723014.32983894,187434069990.34964,20759394.53125,758731.0,1261785.0,13069431044.1001
2024-06-04,637180.0,53437275.0,1717557818.0,1717557818.0,134.0,2.336035028633,1390464286885.4888,1390434557713.5476,35.36014269,19231.26428282,1356844340.1212811,23120.77854518,1631265477.2390692,562079781.7980828,418.75,29544524.95010229,1.0,70554.0894330801,173.61551149961898,10.124452682898864,,,,,19707777.36709835,2720941.85282806,191973574826.6416,20759499.21875,636795.0,1100805.0,13704074333.0217
2024-06-05,592424.0,53500434.0,1717644614.0,1717644614.0,123.0,2.350051564625,1401002830701.5593,1400978608217.3464,58.08407623,34607.93049278,2460189297.1860046,26207.3934912,1863016599.2630904,515938903.7370268,384.375,27324236.02454795,1.0,71087.4433158971,161.2186476219555,12.430137537246988,,,,,19708161.74209288,2730502.92320295,194104471777.08105,20759595.3125,562197.0,1008772.0,13604866856.6694
2024-06-06,624088.0,53556635.0,1717731360.0,1717731360.0,133.0,2.333807126267,1395140656059.825,1395099997474.0828,64.84076304,20453.25056934,1447854956.061404,22821.61037599,1615507597.4921532,554745618.7245225,415.625,29421470.884196922,1.0,70788.5013755114,168.75335136136542,13.448565945130053,,,,,19708577.36709285,2728422.53230767,193140942181.23776,20759699.21875,602842.0,1048984.0,10437499206.3084
